"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","商品模块","10","1","SPU查询","0"
"0","","0","评价模块","4","0","点赞评价","0"
"0","","0","订单模块","3","0","订单详情","0"
"0","","0","订单模块","0","1","订单并发","0"
"0","","0","用户模块","4","0","店铺设置","0"
"0","","0","商品模块","4","0","SKU查询","0"
"0","","0","搜索模块","2","0","搜索历史","0"
"0","","0","购物车模块","3","0","删除商品","0"
"0","","0","商品模块","5","0","品牌查询","0"
"0","","0","商品模块","8","0","SKU管理","0"
"0","","0","评价模块","5","0","创建评价","0"
"0","","0","订单模块","3","0","取消订单","0"
"0","","0","评价模块","2","0","我的评价","0"
"0","","0","用户模块","5","0","收货地址","0"
"0","","0","用户模块","3","0","用户登录","0"
"0","","0","商品模块","6","0","分类查询","0"
"0","","0","支付模块","4","0","模拟支付","0"
"0","","0","购物车模块","3","0","全选/取消","0"
"0","","0","搜索模块","4","1","搜索建议","0"
"0","","0","订单模块","3","0","确认收货","0"
"0","","0","用户模块","4","0","升级为商家","0"
"0","","0","订单模块","3","0","订单支付","0"
"0","","0","商品模块","9","0","分类管理","0"
"0","","0","购物车模块","8","0","添加商品","0"
"0","","0","购物车模块","5","0","更新商品","0"
"0","","0","支付模块","4","0","创建支付","0"
"0","","0","商品模块","3","0","图片管理","0"
"0","","0","商品模块","6","0","SPU管理","0"
"0","","0","商品模块","6","0","品牌管理","0"
"0","","0","营销模块","4","7","优惠券","0"
"0","","0","用户模块","3","0","更新用户信息","0"
"0","","0","订单模块","3","0","申请退款","0"
"0","","0","订单模块","4","0","删除订单","0"
"0","","0","用户模块","2","0","获取用户信息","0"
"0","","0","用户模块","2","0","用户注册","0"
"0","","0","搜索模块","2","0","清空历史","0"
"0","","0","用户模块","4","0","修改密码","0"
"0","","0","用户模块","4","0","刷新Token","0"
"0","","0","订单模块","3","0","退款详情","0"
"0","","0","用户模块","4","0","用户偏好","0"
"0","","0","用户模块","3","0","上传头像","0"
"0","","0","用户模块","3","0","绑定手机号","0"
"0","","0","支付模块","7","0","支付回调","0"
"0","","0","购物车模块","4","0","查询购物车","0"
"0","","0","订单模块","5","0","订单发货","0"
"0","","0","订单模块","4","0","订单列表","0"
"0","","0","订单模块","4","1","创建订单","0"
"0","","0","支付模块","3","0","支付状态","0"
"0","","0","评价模块","2","0","评价列表","0"
"0","","0","购物车模块","3","0","清空购物车","0"
"0","","0","E2E 黄金链路","1","0","完整购买流程","0"
