"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"未登录领取优惠券","4","test_claim_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestCoupons","test_coupons","",""
"树中没有重复 ID","13","test_no_duplicate_ids","test_apis","2026-09-19","passed","2026-09-19","TestCategoryRead","test_goods","",""
"筛选上架商品 — ?is_on_sale=true","8","test_filter_on_sale","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
"商家发货成功","73","test_ship_success","test_apis","2026-09-19","passed","2026-09-19","TestOrderShip","test_orders","",""
"数量为 0 → 400","8","test_add_zero_quantity","test_apis","2026-09-19","passed","2026-09-19","TestCartAdd","test_cart","",""
"正常清空","12","test_clear_success","test_apis","2026-09-19","passed","2026-09-19","TestSearchHistoryClear","test_search","",""
"未登录","4","test_delete_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestOrderDelete","test_orders","",""
"未登录获取我的优惠券","4","test_claim_my_coupons_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestCoupons","test_coupons","",""
"热销商品 — ?limit=3","9","test_hot_with_limit","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
"未登录","4","test_refund_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestOrderRefund","test_orders","",""
"无 token → 401","4","test_create_no_token","test_apis","2026-09-19","passed","2026-09-19","TestBrandWrite","test_goods","",""
"已是商家再升级 → 400","5","test_upgrade_already_seller","test_apis","2026-09-19","passed","2026-09-19","TestUpgradeToSeller","test_users","",""
"","5","test_update_user_info_wrong_token","test_apis","2026-09-19","passed","2026-09-19","TestUpdateUserInfo","test_users","",""
"商品下的图片列表","15","test_spu_images","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
"无 token → 401","4","test_select_all_no_token","test_apis","2026-09-19","passed","2026-09-19","TestCartSelectAll","test_cart","",""
"非商家 → 403","7","test_create_not_seller","test_apis","2026-09-19","passed","2026-09-19","TestCategoryWrite","test_goods","",""
"已支付订单不能再次发起支付","34","test_create_order_not_pending","test_apis","2026-09-19","passed","2026-09-19","TestPaymentCreate","test_payment","",""
"设置主图","18","test_set_main","test_apis","2026-09-19","passed","2026-09-19","TestImageWrite","test_goods","",""
"","356","test_update_user_password_wrong_old","test_apis","2026-09-19","passed","2026-09-19","TestUpdateUserPassword","test_users","",""
"完整生命周期","50","test_address_lifecycle","test_apis","2026-09-19","passed","2026-09-19","TestAddress","test_users","",""
"不存在的商品 → 404","6","test_detail_not_found","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
"上传图片 — multipart/form-data","11","test_upload_image","test_apis","2026-09-19","passed","2026-09-19","TestImageWrite","test_goods","",""
"订单不存在","7","test_create_order_not_found","test_apis","2026-09-19","passed","2026-09-19","TestPaymentCreate","test_payment","",""
"无 token → 401","4","test_add_no_token","test_apis","2026-09-19","passed","2026-09-19","TestCartAdd","test_cart","",""
"已支付订单不能取消","28","test_cancel_wrong_status","test_apis","2026-09-19","passed","2026-09-19","TestOrderCancel","test_orders","",""
"品牌列表","7","test_list","test_apis","2026-09-19","passed","2026-09-19","TestBrandRead","test_goods","",""
"无 token → 401","4","test_update_no_token","test_apis","2026-09-19","passed","2026-09-19","TestCartUpdate","test_cart","",""
"筛选有库存 — ?in_stock=true","8","test_filter_in_stock","test_apis","2026-09-19","passed","2026-09-19","TestSKURead","test_goods","",""
"删除单项","19","test_delete_item","test_apis","2026-09-19","passed","2026-09-19","TestCartDelete","test_cart","",""
"访问不存在的地址 → 404","7","test_address_detail_not_exist","test_apis","2026-09-19","passed","2026-09-19","TestAddress","test_users","",""
"","7","test_get_user_info","test_apis","2026-09-19","passed","2026-09-19","TestGetUserInfo","test_users","",""
"正常提交评价","21","test_create_success","test_apis","2026-09-19","passed","2026-09-19","TestReviewCreate","test_reviews","",""
"正常退款","72","test_refund_success","test_apis","2026-09-19","passed","2026-09-19","TestOrderRefund","test_orders","",""
"未登录","4","test_clear_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestSearchHistoryClear","test_search","",""
"无 token → 401","5","test_clear_no_token","test_apis","2026-09-19","passed","2026-09-19","TestCartClear","test_cart","",""
"正常点赞","40","test_like_success","test_apis","2026-09-19","passed","2026-09-19","TestReviewLike","test_reviews","",""
"无 token 访问","4","test_address_no_token","test_apis","2026-09-19","passed","2026-09-19","TestAddress","test_users","",""
"未登录","3","test_cancel_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestOrderCancel","test_orders","",""
"","7","test_register_password_not_match","test_apis","2026-09-19","passed","2026-09-19","TestRegister","test_users","",""
"超库存扣减 → 400","14","test_deduct_insufficient","test_apis","2026-09-19","passed","2026-09-19","TestSKUWrite","test_goods","",""
"获取店铺设置","6","test_get_shop_settings","test_apis","2026-09-19","passed","2026-09-19","TestShopSettings","test_users","",""
"正常支付","21","test_pay_success","test_apis","2026-09-19","passed","2026-09-19","TestOrderPay","test_orders","",""
"获取优惠券列表不登陆情况下","7","test_get_coupons_list","test_apis","2026-09-19","passed","2026-09-19","TestCoupons","test_coupons","",""
"空关键词","4","test_suggest_empty_query","test_apis","2026-09-19","passed","2026-09-19","TestSearchSuggest","test_search","",""
"缺店铺名 → 400","370","test_upgrade_no_shop_name","test_apis","2026-09-19","passed","2026-09-19","TestUpgradeToSeller","test_users","",""
"无匹配结果","5","test_suggest_no_results","test_apis","2026-09-19","passed","2026-09-19","TestSearchSuggest","test_search","",""
"库存不足","8","test_create_insufficient_stock","test_apis","2026-09-19","skipped","2026-09-19","TestOrderCreate","test_orders","",""
"缺 name → 400","5","test_create_no_name","test_apis","2026-09-19","passed","2026-09-19","TestBrandWrite","test_goods","",""
"商家发货他人商品 → 403","25","test_ship_not_owner","test_apis","2026-09-19","passed","2026-09-19","TestOrderShip","test_orders","",""
"下单时使用优惠券，验证折扣生效","7","test_order_with_coupon","test_apis","2026-09-19","skipped","2026-09-19","TestCoupons","test_coupons","",""
"","373","test_login_password_error","test_apis","2026-09-19","passed","2026-09-19","TestLogin","test_users","",""
"按首字母筛选 — ?letter=A","6","test_filter_by_letter","test_apis","2026-09-19","passed","2026-09-19","TestBrandRead","test_goods","",""
"","6","test_refresh_token_missing","test_apis","2026-09-19","passed","2026-09-19","TestRefreshToken","test_users","",""
"不存在的支付记录","5","test_status_not_found","test_apis","2026-09-19","passed","2026-09-19","TestPaymentStatus","test_payment","",""
"取消选中","20","test_update_selected","test_apis","2026-09-19","passed","2026-09-19","TestCartUpdate","test_cart","",""
"","7","test_create_not_seller","test_apis","2026-09-19","passed","2026-09-19","TestSKUWrite","test_goods","",""
"删除 SKU","15","test_delete","test_apis","2026-09-19","passed","2026-09-19","TestSKUWrite","test_goods","",""
"获取我的优惠券","14","test_claim_my_coupons","test_apis","2026-09-19","skipped","2026-09-19","TestCoupons","test_coupons","",""
"两人同时抢库存=1 的商品，一个 201 一个 400","1","test_concurrent_last_stock","test_apis","2026-09-19","skipped","2026-09-19","TestOrderConcurrency","test_orders","",""
"未登录","4","test_refund_detail_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestRefundDetail","test_orders","",""
"未支付不能退款","17","test_refund_wrong_status","test_apis","2026-09-19","passed","2026-09-19","TestOrderRefund","test_orders","",""
"修改品牌","19","test_update_brand","test_apis","2026-09-19","passed","2026-09-19","TestBrandWrite","test_goods","",""
"重复点赞 → 400","53","test_like_duplicate","test_apis","2026-09-19","passed","2026-09-19","TestReviewLike","test_reviews","",""
"tree/ 直接返回列表","10","test_tree_endpoint","test_apis","2026-09-19","passed","2026-09-19","TestCategoryRead","test_goods","",""
"查询支付状态","31","test_status_success","test_apis","2026-09-19","passed","2026-09-19","TestPaymentStatus","test_payment","",""
"无 token → 401","5","test_create_no_token","test_apis","2026-09-19","passed","2026-09-19","TestCategoryWrite","test_goods","",""
"回调成功后订单状态变为已支付","37","test_callback_order_status_changed","test_apis","2026-09-19","passed","2026-09-19","TestPaymentCallback","test_payment","",""
"","375","test_register","test_apis","2026-09-19","passed","2026-09-19","TestRegister","test_users","",""
"无 token → 401","4","test_upgrade_no_token","test_apis","2026-09-19","passed","2026-09-19","TestUpgradeToSeller","test_users","",""
"未登录","4","test_create_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestPaymentCreate","test_payment","",""
"普通用户升级为商家","372","test_upgrade","test_apis","2026-09-19","passed","2026-09-19","TestUpgradeToSeller","test_users","",""
"未登录","5","test_pay_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestOrderPay","test_orders","",""
"","5","test_refresh_token_wrong","test_apis","2026-09-19","passed","2026-09-19","TestRefreshToken","test_users","",""
"重复评价 → 400","26","test_create_duplicate","test_apis","2026-09-19","passed","2026-09-19","TestReviewCreate","test_reviews","",""
"软删除商品","545","test_delete","test_apis","2026-09-19","passed","2026-09-19","TestSPUWrite","test_goods","",""
"","417","test_update_user_password_not_match","test_apis","2026-09-19","passed","2026-09-19","TestUpdateUserPassword","test_users","",""
"列表每项的必有字段","18","test_list_fields","test_apis","2026-09-19","passed","2026-09-19","TestCartRead","test_cart","",""
"查看退款详情","35","test_refund_detail","test_apis","2026-09-19","passed","2026-09-19","TestRefundDetail","test_orders","",""
"全选所有商品","29","test_select_all","test_apis","2026-09-19","passed","2026-09-19","TestCartSelectAll","test_cart","",""
"未登录","4","test_history_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestSearchHistory","test_search","",""
"重复使用已使用的优惠券 → 400","6","test_order_with_used_coupon","test_apis","2026-09-19","skipped","2026-09-19","TestCoupons","test_coupons","",""
